Source,Date,Title,Content,Name,Rating,Version
"حساب المواطن",2022-12-06,"التطبيق فاشل ولا يعمل","كل محاولة للدخول يأتيك رسالة اسم المستخدم وكلمة المرور خطأ","دندون ،",1,1.7.4
"حساب المواطن",2022-09-29,"البرنامج لايعمل","البرنامج لايعمل ادخل كلمة المرور يطلع خطى. وادخل بقوقل يدخل ع حسابي المواطن","فهدالعنزي 999",4,1.7.4
"حساب المواطن",2022-09-10,هاي,هاي,"اسماء الشهيل",5,1.7.4
"حساب المواطن",2022-09-07,"كلمة المرور دايم يقولي غلط","كلمة المرور دايم يقولي غلط اروح ادخل من الويب يفتح معاي ايش المشكلة",سعددددد,1,1.7.4
"حساب المواطن",2022-09-05,"تطبيق حساب المواطن","يعطيني بيانات تسجيل دخول خاطئه 
بالرغم ادخل من قوقل بنفس البيانات 
ارجوا منكم صيانة البرنامج لحاجتنا اليه",الللليامي,1,1.7.4
"حساب المواطن",2022-08-08,"التطبيق لا يعمل","سيء للغاية 
لا استطيع الدخول الى حسابي من التطبيق 
ولاكن في الموقع لاتوجد مشكله","سآمي العنزي",1,1.7.4
"حساب المواطن",2022-08-02,"التطبيق لا يعمل","لا يمكن الدخول الى البرنامج ' 
يعطي كلمة المرور او اسم المستخدم خطأ 
مع العلم انه عن طريق المتصفح يسجل دخول بكل سهوله","مززاجي غيرر ..",1,1.7.4
"حساب المواطن",2022-07-14,"تسجيل دخول","كل ما سجلت بياناتي في التطبيق و حاولت ادخل يقول لي 
اسم المستخدم او كلمة المرور خاطئة
و لم ادخل عن طريق المتصفح الامور تمام .. يا ليت تنحل المشكلة في اقرب وقت 
ملاحظه / التطبيق على اخر تحديث و شكرا 🤨🤓",MyLove💕,1,1.7.4
"حساب المواطن",2022-07-10,"لم تصل لي رسالة الرقم السري على جوالي","لم تصل لي رسالة على جوال بالرقم السري ما السبب ؟","Aa كنق",5,1.7.4
"حساب المواطن",2022-07-05,"التطبيق لا يرسل رمز التحقق","دائماً احاول الدخول عن طريق التطبيق لكن التطبيق لايرسل رمز التحقق !! عن طريق المتصفح يرسل رمز التحقق لكن عن طريق التطبيق لايرسل الرمز !",abd777,1,1.7.4
"حساب المواطن",2022-07-05,"لم تصل لي رسالة الرقم السري","لم تصل لي رسالة الرقم السري",3wiiiiis,1,1.7.4
"حساب المواطن",2022-07-04,"لا يقبل تسجيل الدخول","عندما احاول تسجيل الدخول من التطبيق تاتي رسالة بان اسم المستخدم او كلمة المرور خاطئة مع العلم باني أقوم بتسجيل الدخول بنفس الاسم و بنفس كلمة المرور عن طريق الكمبيوتر ويتم الدخول الى الحساب. اعتقد البرنامج فيه مشكله.","واثق الخطوة",1,1.7.4
"حساب المواطن",2022-05-23,معلق,"برنامج معللق ولا يشتغل",a111gnmx,1,1.7.4
"حساب المواطن",2022-05-16,"طورو نفسكم","المفروض انا ما اروح لموقع غير التطبيق عشان اكمل اجراءات الاعتراض او أقدم شكوى طوروا نفسكم وضعكم كذا ما ينفع مع الرؤية",bashaweh84,1,1.7.4
"حساب المواطن",2022-05-14,سيئ,"برنامج غريب المفترض يقبل باستمرار له الان 4 سنه مقفل التقديم",Ayasmari,1,1.7.4
"حساب المواطن",2022-02-12,سئ,"من اسوء التطبيقات الي مرة كل مادخل يقول انتهت فترت التسجيل لي سنتين على الوضع هذا اتصل عليهم يقول راقب تويتر شف متى ننزل خبر تسجيل المفروض يكون فيه تاريخ معين للتسجل","وليد ١٠١١",1,1.7.4
"حساب المواطن",2022-01-09,"الله يغنينا عنه","الله يغنينا عنه","ابووو فهددد",1,1.7.4
"حساب المواطن",2021-09-17,"تطبيق فااشل وأداره سيه جداا واكثر بعد وصوتك مسموع تصريفه للناس تم استلام طلبك ولافيه تنفيذ","تطبيق فااشل وأداره سيه جداا واكثر بعد وصوتك مسموع تصريفه للناس تم استلام طلبك ولافيه تنفيذ",saiff557,1,1.7.4
"حساب المواطن",2021-07-26,"اسوا تطبيق","اسوا تطبيق مر مفروض فيه تطورات",مدق,1,1.7.3
"حساب المواطن",2021-07-13,"برنامج فاشل يجسد حال الوزارة الفاشلة","برنامج فاشل يجسد حال الوزارة الفاشلة",fgdgbftv,1,1.7.3
"حساب المواطن",2021-07-12,"تطبيق فاشل","لا اعرف لماذا تطبيقات وزارة العمل فاشلة وبعد المراجعة اتضح بانها من موسسة واحدة لتصميمها",فيباغثومعمنث,1,1.7.3
"حساب المواطن",2021-07-02,"افشل برنامج","فاشل بمعنى الكلمة","أبـــــــو يـــــــــــــــزن",1,1.7.3
"حساب المواطن",2021-06-13,"تطبيق فقير","لايوجد خيار التسجيل جديد!!","هل هذا البرنامج الاصلي بس",1,1.7.3
"حساب المواطن",2021-05-28,فاشل,"فاشل اثناء محاولة الدخول يرفض ويعطي خطا",dalia_sa,1,1.7.3
"حساب المواطن",2021-05-22,"غير منظم","تطبيق فقير وغير منظم يفترض كل خيارات التطبيق في الصفحة الرئيسية لكن لا كل شب مرمي في جهة وفالاخير ما منه فايدة محد يفيدك",Justhuman00001,2,1.7.3
"حساب المواطن",2021-04-27,"حسبنا الله عليكم","لايوجد خيار اضافة تابع مولود حسبنا الله عليكم 
حاطين اضافة عقار واضافة دخل كل اللي يهمكم كيف تشفطون جيب المواطن لعنت الله عليكم والله ينصر المواطن اللي صار يدفع اكثر مما ياخذ 💔",ارنتتتااااللللتعع,1,1.7.2
"حساب المواطن",2020-12-26,"يحتاج إلى تطوير","لاتظهر جميع التفاصيل المطلوبة.",haidershihab,2,1.7.1
"حساب المواطن",2020-12-12,"حساب المواطن","ماعرفت اسجل فيه",B66viq,1,1.7.1
"حساب المواطن",2020-12-03,استفسار,"التطبيق يعطيني كلمة المرور خطأ و الموقع يعمل",m13ed,5,1.7.1
"حساب المواطن",2020-12-03,"التطبيق ممتاز","نشكركم على تطوير التطبيق بحيث يمكن الان رفع شكوى وتقديم اعتراض وتصفح البيانات وتعديلها ... مجهود تشكرون عليه ، جزاكم الله عنا كل خير .",Thdsjkdtyhklcdyfdvhg,4,1.7.1
"حساب المواطن",2020-11-10,لايعمل,"التطبيق لا يعمل  لا يعمل",اؤؤشكارههه,1,1.7.1
"حساب المواطن",2020-11-08,"يحتاج تحديث","لا استطيع تسجيل الدخول من التطبيق يعطيني رساله ان اسم المستخدم او كلمة المرور خطاء وإذا دخلت من المتصفح فتح معي!!!",لتو,1,1.7.1
"حساب المواطن",2020-10-14,"مشكله بالتطبيق","المشكله انه يقول الرقم السري خطأ و ادخل من الويب و يدخل عادي 
هناك مشكله في الدخول و لاتوجد اي خيارات.",awg-o,1,1.7.1
"حساب المواطن",2020-10-07,"الله الغني","الله يرزق من يشاء بغير حساب  
يارب ارزقنا الجنة واغننا عمن سواك ياكريم",Abuhmh,2,1.7
"حساب المواطن",2020-08-11,"الشكوى لله","من يصدق الميزانية اكثر من ٢ ترليون وراتبي ٣٧٠٠ ريال خخ ومتزوج وبيت اجار!! ولي شهرين ماخذت حساب مواطن!! ولا اقدر اعدل البيانات !! واذا اتصلت قالو رح لتطبيق ،والتطبيق شوفة عيونكم ماتقدر تعدل شي!!","سعودي الشكوى لله",1,1.5.1
